id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,notional,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm
939c0f36-203c-496c-ab8a-910a9e6cfd50,debf06e5-d5dc-44ef-9631-a95acfe38a31,"05-17-2024, 19:44:40","05-17-2024, 19:44:40","05-17-2024, 19:44:40",2024-05-17 19:44:40.704312+00:00,,,,,,,550823f6-8d6f-4a45-91e3-d55ea3f98bb7,RBLX,us_equity,,4.678903795,4.678903795,32.64,simple,market,market,sell,day,,,filled,False,[],,,
90d32961-cd55-43c5-bc04-335929d730a3,skybot1_TSMOM_V143919385,"05-17-2024, 19:44:39","05-17-2024, 19:44:39","05-17-2024, 19:44:39",2024-05-17 19:44:39.752356+00:00,,,,,,,500f4a73-50aa-4ab5-8be0-f1344d6f7181,CC,us_equity,,1,1,28.85,simple,market,market,sell,day,,,filled,False,[],,,
f049cc98-0b53-4641-bcf0-fa48305ad5fe,skybot1_TSMOM_V114857656,"05-17-2024, 19:44:35","05-17-2024, 19:44:35","05-17-2024, 19:44:35",2024-05-17 19:44:35.676332+00:00,,,,,,,b6d1aa75-5c9c-4353-a305-9e2caa1925ab,MSFT,us_equity,,0.161734785,0.161734785,420.04,simple,market,market,buy,day,,,filled,False,[],,,
ccb78fc3-eb0f-4855-9702-7585d1ac514d,21320121-9647-40c4-b3b6-e3d64ada157c,"05-17-2024, 19:44:31","05-17-2024, 19:44:32","05-17-2024, 19:44:31",2024-05-17 19:44:32.248122+00:00,,,,,,,bce94a21-f7e5-4e99-a2f4-9d76514742c4,PDD,us_equity,,1,1,145.91,simple,market,market,buy,day,,,filled,False,[],,,
e44b69b1-66ad-4975-a6af-243f0b1b2734,f24d08fa-4f17-4127-9526-ebc3a067af3d,"05-17-2024, 19:44:31","05-17-2024, 19:44:32","05-17-2024, 19:44:31",2024-05-17 19:44:32.131592+00:00,,,,,,,0b3b63d1-09bb-410c-b2ff-e413d3c4f4e6,UAA,us_equity,,6.394068766,6.394068766,6.79,simple,market,market,sell,day,,,filled,False,[],,,
9831dcad-dc55-4e89-ae29-2feaace11d45,a22192cb-b614-41ec-bd04-1e6a2d2b8386,"05-17-2024, 19:44:26","05-17-2024, 19:44:27","05-17-2024, 19:44:26",2024-05-17 19:44:27.350324+00:00,,,,,,,8b059378-e1d0-422c-b80e-157b34700dd6,ZS,us_equity,,1,1,178.63,simple,market,market,buy,day,,,filled,False,[],,,
68ad65a3-c5db-48f4-9fdf-7c35d14dfff6,skybot1_TSMOM_V135093351,"05-17-2024, 19:44:26","05-17-2024, 19:44:26","05-17-2024, 19:44:26",2024-05-17 19:44:26.298651+00:00,,,,,,,4ce9353c-66d1-46c2-898f-fce867ab0247,NVDA,us_equity,,0.072790082,0.072790082,925.652,simple,market,market,buy,day,,,filled,False,[],,,
475f51ba-c6fa-48ed-856c-cd8314e5d781,704d57d6-1f1a-4d1b-b2fe-4122aa86f273,"05-17-2024, 19:44:25","05-17-2024, 19:44:25","05-17-2024, 19:44:25",2024-05-17 19:44:25.917230+00:00,,,,,,,1ef18995-5094-4f62-a5c5-e00168611152,MU,us_equity,,0.342561173,0.342561173,125.344,simple,market,market,sell,day,,,filled,False,[],,,
2c6a7659-e8a6-48ce-8691-a6cbb6af9a88,skybot1_TSMOM_V122341589,"05-17-2024, 19:44:25","05-17-2024, 19:44:25","05-17-2024, 19:44:25",2024-05-17 19:44:25.308281+00:00,,,,,,,26226278-b62c-47ec-a1bd-cf0dbd14b420,CRWD,us_equity,,0.198306255,0.198306255,345.38,simple,market,market,buy,day,,,filled,False,[],,,
f4b94b2c-96f1-4ed1-bd0c-c9a960a66e66,skybot1_TSMOM_V121248811,"05-17-2024, 19:44:23","05-17-2024, 19:44:24","05-17-2024, 19:44:23",2024-05-17 19:44:24.375390+00:00,,,,,,,96da6121-b5ab-4f8b-bb53-60ae53cb5ed3,NEM,us_equity,,1.005885324,1.005885324,43.7,simple,market,market,buy,day,,,filled,False,[],,,
